trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
1,0.6,1.0,0.16333333333333333,0.14333333333333334,21,0,0.4833395034305885
1,0.8,1.0,0.37,0.35333333333333333,21,0,0.4700359482354283
1,1.0,1.0,0.6466666666666666,0.58,21,0,0.465886413976642
1,1.2,1.0,0.84,0.7666666666666667,21,0,0.46505705484178544
1,1.4,1.0,0.95,0.9,21,0,0.47335858854951607
1,1.6,1.0,0.99,0.96,21,0,0.47834688488309984
1,1.8,1.0,1.0,0.9733333333333334,21,0,0.47917871462725703
1,2.0,1.0,1.0,0.9966666666666667,21,0,0.4791787146272571
1,0.6,2.0,0.16333333333333333,0.14333333333333334,21,0,0.4667159617488687
1,0.8,2.0,0.37,0.35333333333333333,21,0,0.440286350732807
1,1.0,2.0,0.6466666666666666,0.58,21,0,0.43208895029076777
1,1.2,2.0,0.84,0.7666666666666667,21,0,0.430453776060771
1,1.4,2.0,0.95,0.9,21,0,0.44686802193104874
1,1.6,2.0,0.99,0.96,21,0,0.45677483551814235
1,1.8,2.0,1.0,0.9733333333333334,21,0,0.4584295167832001
1,2.0,2.0,1.0,0.9966666666666667,21,0,0.45842951678320004
1,0.6,3.0,0.16333333333333333,0.14333333333333334,21,0,0.4501660026875221
1,0.8,3.0,0.37,0.35333333333333333,21,0,0.4109595659413349
1,1.0,3.0,0.6466666666666666,0.58,21,0,0.3989121211516302
1,1.2,3.0,0.84,0.7666666666666667,21,0,0.39651675013527377
1,1.4,3.0,0.95,0.9,21,0,0.42067574785125056
1,1.6,3.0,0.99,0.96,21,0,0.4353637081969708
1,1.8,3.0,1.0,0.9733333333333334,21,0,0.4378234991142018
1,2.0,3.0,1.0,0.9966666666666667,21,0,0.4378234991142019
1,0.6,4.0,0.16333333333333333,0.14333333333333334,21,0,0.4337256058045609
1,0.8,4.0,0.37,0.35333333333333333,21,0,0.382252125230751
1,1.0,4.0,0.6466666666666666,0.58,21,0,0.366638113021046
1,1.2,4.0,0.84,0.7666666666666667,21,0,0.36354745971843366
1,1.4,4.0,0.95,0.9,21,0,0.3949225810582625
1,1.6,4.0,0.99,0.96,21,0,0.4141909784350151
1,1.8,4.0,1.0,0.9733333333333334,21,0,0.4174297935376853
1,2.0,4.0,1.0,0.9966666666666667,21,0,0.4174297935376853
1,0.6,5.0,0.16333333333333333,0.14333333333333334,21,0,0.41742979353768533
1,0.8,5.0,0.37,0.35333333333333333,21,0,0.3543436937742045
1,1.0,5.0,0.6466666666666666,0.58,21,0,0.33551774365212944
1,1.2,5.0,0.84,0.7666666666666667,21,0,0.33181222783183384
1,1.4,5.0,0.95,0.9,21,0,0.36973977708224864
1,1.6,5.0,0.99,0.96,21,0,0.3933306438917887
1,1.8,5.0,1.0,0.9733333333333334,21,0,0.39731466202150834
1,2.0,5.0,1.0,0.9966666666666667,21,0,0.3973146620215082
1,0.6,6.0,0.16333333333333333,0.14333333333333334,21,0,0.401312339887548
1,0.8,6.0,0.37,0.35333333333333333,21,0,0.32739298293223956
1,1.0,6.0,0.6466666666666666,0.58,21,0,0.3057636598919694
1,1.2,6.0,0.84,0.7666666666666667,21,0,0.30153478399746125
1,1.4,6.0,0.95,0.9,21,0,0.34524653939368083
1,1.6,6.0,0.99,0.96,21,0,0.37285223368680437
1,1.8,6.0,1.0,0.9733333333333334,21,0,0.3775406687981453
